id,label,source_type,uspc_class,locarno_class,grant_date,invention_title,png_path,drawing_page,text_masked
D1040651,positive,positive_patent,D9,900.0,2024-09-03,Supplement Container With Surface Ornamentation,data\processed\D1040651.png,3.0,True
D1042123,positive,positive_patent,D9,900.0,2024-09-17,Foldable Box for Boardgames,data\processed\D1042123.png,4.0,True
D1042157,positive,positive_patent,D9,900.0,2024-09-17,Gun Cleaning Case,data\processed\D1042157.png,3.0,True
D1043332,positive,positive_patent,D9,900.0,2024-09-24,Gift Box,data\processed\D1043332.png,2.0,True
D1043352,positive,positive_patent,D9,900.0,2024-09-24,BOTTLE WITH OVERCAP,data\processed\D1043352.png,3.0,True
D1045582,positive,positive_patent,D8,800.0,2024-10-08,Magnet Hook,data\processed\D1045582.png,3.0,True
D1047660,positive,positive_patent,D8,800.0,2024-10-22,DOOR FASTENER,data\processed\D1047660.png,12.0,True
D1047665,positive,positive_patent,D8,800.0,2024-10-22,CLADDING INSTALLATION SUPPORT,data\processed\D1047665.png,3.0,True
D1047681,positive,positive_patent,D8,800.0,2024-10-22,Bench Clamp Base,data\processed\D1047681.png,2.0,True
D1048511,positive,positive_patent,D26,2600.0,2024-10-22,Solar Barn Light,data\processed\D1048511.png,9.0,True
D1048868,positive,positive_patent,D8,800.0,2024-10-29,PART OF CONNECTOR,data\processed\D1048868.png,3.0,True
D1049323,positive,positive_patent,D23,2300.0,2024-10-29,WASHBASIN,data\processed\D1049323.png,2.0,True
D1049406,positive,positive_patent,D24,2401.0,2024-10-29,BEAUTY INSTRUMENT ASSEMBLY,data\processed\D1049406.png,3.0,True
D1049700,positive,positive_patent,D6,600.0,2024-11-05,Pillow,data\processed\D1049700.png,3.0,True
D1050406,positive,positive_patent,D23,2300.0,2024-11-05,FIREPLACE LOG HOLDER,data\processed\D1050406.png,4.0,True
D1050408,positive,positive_patent,D23,2300.0,2024-11-05,CEILING FAN BLADE,data\processed\D1050408.png,2.0,True
D1050455,positive,positive_patent,D24,701.0,2024-11-05,Air Valve for Baby Bottle,data\processed\D1050455.png,11.0,True
D1050475,positive,positive_patent,D24,2401.0,2024-11-05,Massager,data\processed\D1050475.png,6.0,True
D1050503,positive,positive_patent,D26,2600.0,2024-11-05,INFLATABLE LIGHT,data\processed\D1050503.png,2.0,True
D1050551,positive,positive_patent,D26,2600.0,2024-11-05,Hold the Moon Astronaut Projection Lamp,data\processed\D1050551.png,2.0,True
