query_id,query_label,query_uspc,query_png,candidate_id,candidate_label,candidate_uspc,candidate_png,candidate_rank
D1040651,positive,D9,data\processed\D1040651.png,D1050879,positive,D9,data\processed\D1050879.png,1
D1040651,positive,D9,data\processed\D1040651.png,D1052403,positive,D9,data\processed\D1052403.png,2
D1040651,positive,D9,data\processed\D1040651.png,D554517,negative,D9,data\processed\D554517.png,3
D1040651,positive,D9,data\processed\D1040651.png,D553986,negative,D9,data\processed\D553986.png,4
D1040651,positive,D9,data\processed\D1040651.png,D1042123,positive,D9,data\processed\D1042123.png,5
D1042123,positive,D9,data\processed\D1042123.png,D9_gen_box,negative,D9,data\processed\D9_gen_box.png,1
D1042123,positive,D9,data\processed\D1042123.png,D1043332,positive,D9,data\processed\D1043332.png,2
D1042123,positive,D9,data\processed\D1042123.png,D551968,negative,D9,data\processed\D551968.png,3
D1042123,positive,D9,data\processed\D1042123.png,D9_gen_bag,negative,D9,data\processed\D9_gen_bag.png,4
D1042123,positive,D9,data\processed\D1042123.png,D1050879,positive,D9,data\processed\D1050879.png,5
D1042157,positive,D9,data\processed\D1042157.png,D1054284,positive,D9,data\processed\D1054284.png,1
D1042157,positive,D9,data\processed\D1042157.png,D1053711,positive,D9,data\processed\D1053711.png,2
D1042157,positive,D9,data\processed\D1042157.png,D9_gen_spray_can,negative,D9,data\processed\D9_gen_spray_can.png,3
D1042157,positive,D9,data\processed\D1042157.png,D1054855,positive,D9,data\processed\D1054855.png,4
D1042157,positive,D9,data\processed\D1042157.png,D1043352,positive,D9,data\processed\D1043352.png,5
D1043332,positive,D9,data\processed\D1043332.png,D9_gen_box,negative,D9,data\processed\D9_gen_box.png,1
D1043332,positive,D9,data\processed\D1043332.png,D1042123,positive,D9,data\processed\D1042123.png,2
D1043332,positive,D9,data\processed\D1043332.png,D9_gen_spray_can,negative,D9,data\processed\D9_gen_spray_can.png,3
D1043332,positive,D9,data\processed\D1043332.png,D1043352,positive,D9,data\processed\D1043352.png,4
D1043332,positive,D9,data\processed\D1043332.png,D549111,negative,D9,data\processed\D549111.png,5
D1043352,positive,D9,data\processed\D1043352.png,D551554,negative,D9,data\processed\D551554.png,1
D1043352,positive,D9,data\processed\D1043352.png,D1051730,positive,D9,data\processed\D1051730.png,2
D1043352,positive,D9,data\processed\D1043352.png,D9_gen_bottle,negative,D9,data\processed\D9_gen_bottle.png,3
D1043352,positive,D9,data\processed\D1043352.png,D1055697,positive,D9,data\processed\D1055697.png,4
D1043352,positive,D9,data\processed\D1043352.png,D9_gen_tin_can,negative,D9,data\processed\D9_gen_tin_can.png,5
D1045582,positive,D8,data\processed\D1045582.png,D556024,negative,D8,data\processed\D556024.png,1
D1045582,positive,D8,data\processed\D1045582.png,D557097,negative,D8,data\processed\D557097.png,2
D1045582,positive,D8,data\processed\D1045582.png,D1047681,positive,D8,data\processed\D1047681.png,3
D1045582,positive,D8,data\processed\D1045582.png,D552946,negative,D8,data\processed\D552946.png,4
D1045582,positive,D8,data\processed\D1045582.png,D1053694,positive,D8,data\processed\D1053694.png,5
D1047660,positive,D8,data\processed\D1047660.png,D8_gen_hammer,negative,D8,data\processed\D8_gen_hammer.png,1
D1047660,positive,D8,data\processed\D1047660.png,D8_gen_level,negative,D8,data\processed\D8_gen_level.png,2
D1047660,positive,D8,data\processed\D1047660.png,D8_gen_wrench,negative,D8,data\processed\D8_gen_wrench.png,3
D1047660,positive,D8,data\processed\D1047660.png,D553930,negative,D8,data\processed\D553930.png,4
D1047660,positive,D8,data\processed\D1047660.png,D1055656,positive,D8,data\processed\D1055656.png,5
D1047665,positive,D8,data\processed\D1047665.png,D1054834,positive,D8,data\processed\D1054834.png,1
D1047665,positive,D8,data\processed\D1047665.png,D1055656,positive,D8,data\processed\D1055656.png,2
D1047665,positive,D8,data\processed\D1047665.png,D8_gen_pliers,negative,D8,data\processed\D8_gen_pliers.png,3
D1047665,positive,D8,data\processed\D1047665.png,D1054822,positive,D8,data\processed\D1054822.png,4
D1047665,positive,D8,data\processed\D1047665.png,D557097,negative,D8,data\processed\D557097.png,5
D1047681,positive,D8,data\processed\D1047681.png,D1054822,positive,D8,data\processed\D1054822.png,1
D1047681,positive,D8,data\processed\D1047681.png,D556024,negative,D8,data\processed\D556024.png,2
D1047681,positive,D8,data\processed\D1047681.png,D1045582,positive,D8,data\processed\D1045582.png,3
D1047681,positive,D8,data\processed\D1047681.png,D552946,negative,D8,data\processed\D552946.png,4
D1047681,positive,D8,data\processed\D1047681.png,D8_gen_hammer,negative,D8,data\processed\D8_gen_hammer.png,5
D1048511,positive,D26,data\processed\D1048511.png,D550874,negative,D26,data\processed\D550874.png,1
D1048511,positive,D26,data\processed\D1048511.png,D550868,negative,D26,data\processed\D550868.png,2
D1048511,positive,D26,data\processed\D1048511.png,D26_gen_sparkle,negative,D26,data\processed\D26_gen_sparkle.png,3
D1048511,positive,D26,data\processed\D1048511.png,D26_gen_star,negative,D26,data\processed\D26_gen_star.png,4
D1048511,positive,D26,data\processed\D1048511.png,D549866,negative,D26,data\processed\D549866.png,5
D1048868,positive,D8,data\processed\D1048868.png,D552946,negative,D8,data\processed\D552946.png,1
D1048868,positive,D8,data\processed\D1048868.png,D557097,negative,D8,data\processed\D557097.png,2
D1048868,positive,D8,data\processed\D1048868.png,D1054822,positive,D8,data\processed\D1054822.png,3
D1048868,positive,D8,data\processed\D1048868.png,D8_gen_pliers,negative,D8,data\processed\D8_gen_pliers.png,4
D1048868,positive,D8,data\processed\D1048868.png,D1055656,positive,D8,data\processed\D1055656.png,5
D1049323,positive,D23,data\processed\D1049323.png,D550813,negative,D23,data\processed\D550813.png,1
D1049323,positive,D23,data\processed\D1049323.png,D556318,negative,D23,data\processed\D556318.png,2
D1049323,positive,D23,data\processed\D1049323.png,D1050406,positive,D23,data\processed\D1050406.png,3
D1049323,positive,D23,data\processed\D1049323.png,D1056136,positive,D23,data\processed\D1056136.png,4
D1049323,positive,D23,data\processed\D1049323.png,D23_gen_bathtub,negative,D23,data\processed\D23_gen_bathtub.png,5
D1049406,positive,D24,data\processed\D1049406.png,D1050455,positive,D24,data\processed\D1050455.png,1
D1049406,positive,D24,data\processed\D1049406.png,D24_gen_bandage,negative,D24,data\processed\D24_gen_bandage.png,2
D1049406,positive,D24,data\processed\D1049406.png,D24_gen_pill,negative,D24,data\processed\D24_gen_pill.png,3
D1049406,positive,D24,data\processed\D1049406.png,D1054574,positive,D24,data\processed\D1054574.png,4
D1049406,positive,D24,data\processed\D1049406.png,D1054033,positive,D24,data\processed\D1054033.png,5
D1049700,positive,D6,data\processed\D1049700.png,D6_gen_pillow,negative,D6,data\processed\D6_gen_pillow.png,1
D1049700,positive,D6,data\processed\D1049700.png,D1050765,positive,D6,data\processed\D1050765.png,2
D1049700,positive,D6,data\processed\D1049700.png,D1055570,positive,D6,data\processed\D1055570.png,3
D1049700,positive,D6,data\processed\D1049700.png,D6_gen_table,negative,D6,data\processed\D6_gen_table.png,4
D1049700,positive,D6,data\processed\D1049700.png,D555945,negative,D6,data\processed\D555945.png,5
D1050406,positive,D23,data\processed\D1050406.png,D1054542,positive,D23,data\processed\D1054542.png,1
D1050406,positive,D23,data\processed\D1050406.png,D1056167,positive,D23,data\processed\D1056167.png,2
D1050406,positive,D23,data\processed\D1050406.png,D23_gen_showerhead,negative,D23,data\processed\D23_gen_showerhead.png,3
D1050406,positive,D23,data\processed\D1050406.png,D1051327,positive,D23,data\processed\D1051327.png,4
D1050406,positive,D23,data\processed\D1050406.png,D550813,negative,D23,data\processed\D550813.png,5
D1050408,positive,D23,data\processed\D1050408.png,D1051327,positive,D23,data\processed\D1051327.png,1
D1050408,positive,D23,data\processed\D1050408.png,D551335,negative,D23,data\processed\D551335.png,2
D1050408,positive,D23,data\processed\D1050408.png,D23_gen_fan,negative,D23,data\processed\D23_gen_fan.png,3
D1050408,positive,D23,data\processed\D1050408.png,D555238,negative,D23,data\processed\D555238.png,4
D1050408,positive,D23,data\processed\D1050408.png,D556318,negative,D23,data\processed\D556318.png,5
D1050455,positive,D24,data\processed\D1050455.png,D548834,negative,D24,data\processed\D548834.png,1
D1050455,positive,D24,data\processed\D1050455.png,D555254,negative,D24,data\processed\D555254.png,2
D1050455,positive,D24,data\processed\D1050455.png,D549328,negative,D24,data\processed\D549328.png,3
D1050455,positive,D24,data\processed\D1050455.png,D24_gen_microscope,negative,D24,data\processed\D24_gen_microscope.png,4
D1050455,positive,D24,data\processed\D1050455.png,D1054574,positive,D24,data\processed\D1054574.png,5
D1050475,positive,D24,data\processed\D1050475.png,D24_gen_bandage,negative,D24,data\processed\D24_gen_bandage.png,1
D1050475,positive,D24,data\processed\D1050475.png,D1054584,positive,D24,data\processed\D1054584.png,2
D1050475,positive,D24,data\processed\D1050475.png,D24_gen_thermometer,negative,D24,data\processed\D24_gen_thermometer.png,3
D1050475,positive,D24,data\processed\D1050475.png,D558354,negative,D24,data\processed\D558354.png,4
D1050475,positive,D24,data\processed\D1050475.png,D1055295,positive,D24,data\processed\D1055295.png,5
D1050503,positive,D26,data\processed\D1050503.png,D1056301,positive,D26,data\processed\D1056301.png,1
D1050503,positive,D26,data\processed\D1050503.png,D26_gen_star,negative,D26,data\processed\D26_gen_star.png,2
D1050503,positive,D26,data\processed\D1050503.png,D26_gen_sparkle,negative,D26,data\processed\D26_gen_sparkle.png,3
D1050503,positive,D26,data\processed\D1050503.png,D1054615,positive,D26,data\processed\D1054615.png,4
D1050503,positive,D26,data\processed\D1050503.png,D1048511,positive,D26,data\processed\D1048511.png,5
D1050551,positive,D26,data\processed\D1050551.png,D550868,negative,D26,data\processed\D550868.png,1
D1050551,positive,D26,data\processed\D1050551.png,D1050559,positive,D26,data\processed\D1050559.png,2
D1050551,positive,D26,data\processed\D1050551.png,D1051473,positive,D26,data\processed\D1051473.png,3
D1050551,positive,D26,data\processed\D1050551.png,D1050503,positive,D26,data\processed\D1050503.png,4
D1050551,positive,D26,data\processed\D1050551.png,D553270,negative,D26,data\processed\D553270.png,5
D1050559,positive,D26,data\processed\D1050559.png,D1050551,positive,D26,data\processed\D1050551.png,1
